1@country@korea@한국 대한민국
2@country@japan@일본
3@country@china@중국
4@country@america@미국
5@country@england@영국
6@country@germany@독일
7@country@russia@러시아
8@country@philippines@필리핀
9@country@singapore@싱가포르
10@country@indonesia@인도네시아
11@country@brazil@브라질
12@country@mexico@멕시코
13@country@colombia@콜롬비아
14@country@austrailia@호주 오스트레일리아
15@country@belgium@벨기에
16@country@thailand@태국
17@country@chile@칠레
18@country@italy@이탈리아
19@country@argentine@아르헨티나
20@country@holland@네덜란드
21@country@spain@스페인
22@country@turkey@터키
23@country@france@프랑스
24@country@canada@캐나다
25@country@taiwan@대만
26@country@vietnam@베트남
27@fruits@apple@사과
28@fruits@orange@오렌지
29@fruits@banana@바나나
30@fruits@pineapple@파인애플
31@fruits@grape@포도
32@fruits@tomato@토마토
33@fruits@mango@망고
34@fruits@kiwi@키위
35@fruits@pear@배
36@fruits@grapefruit@자몽
37@fruits@melon@멜론
38@fruits@watermelon@수박
39@fruits@strawberry@딸기
40@fruits@pulm@자두
41@fruits@tangerine@귤
42@fruits@peach@복숭아
43@fruits@persimmon@감
44@fruits@pomegranate@석류
45@fruits@cherry@체리 앵두
46@sports@football@축구
47@sports@baseball@야구
48@sports@basketball@농구
49@sports@volleyball@배구
50@sports@handball@핸드볼
51@sports@bowling@볼링
52@sports@fire@사격
53@sports@wrestling@레슬링
54@sports@gymnestics@체조
55@sports@badminton@배드민턴
56@sports@archery@양궁 활쏘기
57@sports@fencing@펜싱
58@sports@weightlifting@역도
59@sports@table tennis@탁구
60@sports@swimming@수영
61@sports@tennis@테니스
62@sports@ski@스키
63@sports@ice hockey@아이스하키
64@sentence-1@I'm SAM.@저는 샘입니다.
65@sentence-1@How old are you?@몇살 입니까?
66@sentence-1@What time is it now?@몇시인가요?
67@sentence-1@Good morning!@좋은 아침
68@sentence-1@Happy birthday to you!@생일 축하합니다
69@sentence-1@Merry christmas!@즐거운 성탄
70@sentence-1@What is your name?@이름이 무엇입니까?
71@sentence-1@Where are you from?@어디출신인가요?
72@sentence-1@Are you hungry?@배고픈가요?
73@sentence-1@This is chair.@이것은 의자입니다.
74@sentence-1@What is your dream?@당신의 꿈은 무엇인가요?
75@sentence-1@I am good at dancing.@나는 춤을 잘춥니다.
76@sentence-1@My name is JOHN.@내 이름은 존입니다.
77@Everyday English@What's your hobby?@취미가 뭔가요?
78@Everyday English@I enjoy fishing.@낚시를 즐겨합니다.
79@Everyday English@My hobby is collecting stamps.@제 취미는 우표수집입니다.
80@Everyday English@Do you have a big collection?@많이 수집하셨어요?
81@Everyday English@What do you do for relaxation?@여가를 어떻게 보내세요?
82@Everyday English@What do you do in your spare time?@여가시간에는 무엇을 하나요?
83@Everyday English@Are you interested in collection?@우편수집에는 관심이 있습니까?
84@Everyday English@What's your favorite pop song?@ 좋아하는 팝송이 무엇입니까?
85@Everyday English@What's your favorite season?@ 가장 좋아하는 계절은 언제인가요?
86@Everyday English@Do you enjoy watching the baseball game?@야구관람을 즐겨하세요?
87@Everyday English@Do you play any musical instruments?@악기를 다룰 줄 아세요?
88@Everyday English@Do you know how to play the song on the guitar?@그 노래 기타로 연주할 줄 아세요?
89@Everyday English@That music is not to my taste.@그 음악은 나의 취향에 맞지 않아요.
90@Everyday English-2@What's on TV?@ 텔레비젼에 뭐가 방영되고 있나요?
91@Everyday English-2@Which program do you enjoy the most?@어느 프로그램을 가장 좋아합니까?
92@Everyday English-2@I enjoy talk shows the most.@토크쇼를 가장 좋아합니다.
93@Everyday English-2@How do you spend your leisure time?@당신은 여가를 어떻게 보내십니까?
94@Everyday English-2@What is your specialty?@당신 특기가 뭐에요?
95@Everyday English-2@What kind of music do you like?@어떤 종류의 음악을 좋아하나요?
